source,kind,joint,frame,angle_deg
2D,推定,spine0,62,0.9173812257273355
2D,推定,spine0,63,0.5201532338256318
2D,推定,spine0,64,0.41407766192165674
2D,推定,spine0,65,0.9070223879697885
2D,推定,spine0,66,1.7247739058611007
2D,推定,spine0,67,1.6256511074972697
2D,推定,spine0,68,0.03223304659230364
2D,推定,spine0,69,0.11838292609732148
2D,推定,spine0,70,0.4473548313678508
2D,推定,spine0,71,0.2369898282254256
2D,推定,spine0,72,1.3137218204905923
2D,推定,spine0,73,0.4972237483724283
2D,推定,spine0,74,2.2273773414637184
2D,推定,spine0,75,2.643394754114988
2D,推定,spine0,76,1.3893911239188557
2D,推定,spine0,77,0.33721663626763454
2D,推定,spine0,78,0.789872906683796
2D,推定,spine0,79,1.0006724986899371
2D,推定,spine0,80,2.091140493463601
2D,推定,spine0,81,2.973023471070384
2D,推定,spine0,82,3.244039039035971
2D,推定,spine0,83,3.5618109568587166
2D,推定,spine0,84,4.749189322423794
2D,推定,spine0,85,4.996538873331715
2D,推定,spine0,86,4.420091410036228
2D,推定,spine0,87,4.221220967423929
2D,推定,spine0,88,4.088367773764502
2D,推定,spine0,89,4.159122927160519
2D,推定,spine0,90,4.107437872484368
2D,推定,spine0,91,3.9806300732576148
2D,推定,spine0,92,4.202836745885931
2D,推定,spine0,93,4.123869131285751
2D,推定,spine0,94,4.535352792187989
2D,推定,spine0,95,4.649686474524005
2D,推定,spine0,96,4.617946874224802
2D,推定,spine0,97,4.6457552411211696
2D,推定,spine0,98,4.501163729505494
2D,推定,spine0,99,3.6797700902133004
2D,推定,spine0,100,3.846733730373671
2D,推定,spine0,101,4.3393849765506305
2D,推定,spine1,1,171.37945283439217
2D,推定,spine1,2,172.78451693990226
2D,推定,spine1,3,172.5335321873725
2D,推定,spine1,4,172.05087611508526
2D,推定,spine1,5,171.9815502036861
2D,推定,spine1,6,173.41750460892663
2D,推定,spine1,7,173.4546724020911
2D,推定,spine1,8,173.39043332471752
2D,推定,spine1,9,175.8711983877221
2D,推定,spine1,10,169.26085493605285
2D,推定,spine1,11,166.08278216382848
2D,推定,spine1,12,167.72342930559662
2D,推定,spine1,13,162.8673995176354
2D,推定,spine1,14,161.0540585678704
2D,推定,spine1,15,164.33461702925032
2D,推定,spine1,16,158.76710719692446
2D,推定,spine1,17,153.6070183585285
2D,推定,spine1,18,142.23873170368793
2D,推定,spine1,19,134.2864646444488
2D,推定,spine1,20,153.51627175975614
2D,推定,spine1,21,154.59290741797628
2D,推定,spine1,22,149.59947683758057
2D,推定,spine1,23,160.07015126527122
2D,推定,spine1,24,173.19992579118647
2D,推定,spine1,25,179.46619155737287
2D,推定,spine1,26,168.66076007912008
2D,推定,spine1,27,155.24033478057333
2D,推定,spine1,28,128.9770972806914
2D,推定,spine1,29,112.54166709186129
2D,推定,spine1,30,130.69820950232082
2D,推定,spine1,31,131.36103766665
2D,推定,spine1,32,155.1577939768013
2D,推定,spine1,33,169.4723831216698
2D,推定,spine1,34,169.38609248653793
2D,推定,spine1,35,175.6458498032643
2D,推定,spine1,36,167.31416180462568
2D,推定,spine1,37,166.05202164078815
2D,推定,spine1,38,170.61056074629312
2D,推定,spine1,39,176.61701016987448
2D,推定,spine1,40,176.62508097326304
2D,推定,spine1,41,176.57971017011133
2D,推定,spine1,42,178.1629973000116
2D,推定,spine1,43,161.94826434970707
2D,推定,spine1,44,175.61478763054643
2D,推定,spine1,45,176.55832298982432
2D,推定,spine1,46,174.27686432885054
2D,推定,spine1,47,178.86650228111714
2D,推定,spine1,48,176.62645780534194
2D,推定,spine1,49,172.1450930498091
2D,推定,spine1,50,174.4457637437282
2D,推定,spine1,51,172.75744037544484
2D,推定,spine1,52,169.66473601967493
2D,推定,spine1,53,175.7382589902306
2D,推定,spine1,54,175.391344951249
2D,推定,spine1,55,170.55460489549458
2D,推定,spine1,56,169.7952825516728
2D,推定,spine1,57,166.54035564871936
2D,推定,spine1,58,166.7683906829437
2D,推定,spine1,59,167.56581694917304
2D,推定,spine1,60,165.8683953588958
2D,推定,spine1,61,167.48878329421717
2D,推定,spine1,62,166.29670876489672
2D,推定,spine1,63,168.64009113707627
2D,推定,spine1,64,169.1174441835415
2D,推定,spine1,65,171.57245873052747
2D,推定,spine1,66,171.5478720503923
2D,推定,spine1,67,171.43465384326214
2D,推定,spine1,68,163.36219458175987
2D,推定,spine1,69,167.37745932080946
2D,推定,spine1,70,165.25775553071162
2D,推定,spine1,71,168.74581545907867
2D,推定,spine1,72,171.25323449978833
2D,推定,spine1,73,168.12567544413693
